Type	lambda	s	a	b	r	E[N]	Var[N]	P[N=0]	E[T]	Var[T]	E[T^r]
Uniform	1	24.8499999999999	-0.75	0.75	0.5	1.50301810865191	1.45809262010696	0.21741626591894	0.999978278614792	0.963046046912974	0.888010488878799
Uniform	1	25.0499999999999	-0.75	0.75	0.5	1.49900199600799	1.45456791008801	0.218346891358339	0.999969787505932	0.963440359086469	0.888158961398659
Uniform	1	25.2499999999999	-0.75	0.75	0.5	1.4950495049505	1.45103421233213	0.219259306034146	0.999961296397072	0.964053466277019	0.887774346494223
Uniform	1	25.4499999999999	-0.75	0.75	0.5	1.49901768172888	1.4553209228002	0.21842720549294	0.999952805288224	0.963036981110573	0.888404244667144
Uniform	1	25.6499999999999	-0.75	0.75	0.5	1.50292397660819	1.45941961249235	0.217597599615773	0.999944314179372	0.961766276987299	0.888673516425997
Uniform	1	25.8499999999999	-0.75	0.75	0.5	1.50290135396519	1.45970092297102	0.21763692979665	0.999941546932696	0.961325849685793	0.888448555434233
Uniform	1	26.0499999999999	-0.75	0.75	0.5	1.49904030710173	1.45629436967886	0.218530346408329	0.999943157800865	0.959728298543321	0.888316615646493
Uniform	1	26.2499999999999	-0.75	0.75	0.5	1.4952380952381	1.45287981859411	0.219406939018539	0.999944768669025	0.954838066808426	0.889657331303415
Uniform	1	26.4499999999999	-0.75	0.75	0.5	1.49905482041588	1.45699164882916	0.218604663956441	0.999946379537195	0.952093744655038	0.889764226674379
Uniform	1	26.6499999999999	-0.75	0.75	0.5	1.50281425891182	1.46092949744622	0.217804731678825	0.999940185931593	0.951735938106613	0.889453754306153
Uniform	1	26.8499999999999	-0.75	0.75	0.5	1.50279329608939	1.46119034986424	0.217841183504583	0.999929981273145	0.95261448410178	0.889074181869309
Uniform	1	27.0499999999999	-0.75	0.75	0.5	1.49907578558226	1.45789443113834	0.21870024891863	0.999919776614713	0.954064099575566	0.888914436814001
Uniform	1	27.2499999999999	-0.75	0.75	0.5	1.4954128440367	1.45459136436327	0.219543724524056	0.999913964315227	0.957002807770864	0.888261458142887
Uniform	1	27.4499999999999	-0.75	0.75	0.5	1.49908925318761	1.45854194246203	0.218769217255706	0.999905015095099	0.960103155188888	0.88801335458879
Uniform	1	27.6499999999999	-0.75	0.75	0.5	1.50271247739602	1.46233106285295	0.217996913759134	0.999896065874986	0.96248571649441	0.887670405514916
Uniform	1	27.8499999999999	-0.75	0.75	0.5	1.50269299820467	1.4625736102292	0.21803079202013	0.999887116654865	0.961562568281569	0.888215858047839
Uniform	1	28.0499999999999	-0.75	0.75	0.5	1.49910873440285	1.4593814839175	0.218858047167461	0.999878167434747	0.960419484746487	0.888632247342362
Uniform	1	28.2499999999999	-0.75	0.75	0.5	1.49557522123894	1.45618294306524	0.219670815715347	0.999869218214634	0.961459907385971	0.888300277053445
Uniform	1	28.4499999999999	-0.75	0.75	0.5	1.49912126537786	1.45998437118739	0.218922223727004	0.999864101079324	0.963165450469339	0.887767034118999
Uniform	1	28.6499999999999	-0.75	0.75	0.5	1.50261780104712	1.46363556067237	0.21817570804406	0.99987011682862	0.963182763349244	0.887861451976849
Uniform	1	28.8499999999999	-0.75	0.75	0.5	1.50259965337955	1.46386166419867	0.218207275969258	0.999872933110545	0.962861091454064	0.888073531521298
Uniform	1	29.0499999999999	-0.75	0.75	0.5	1.49913941480207	1.46076709098504	0.21900499017197	0.999875749392449	0.962501918668287	0.888491419200465
Uniform	1	29.2499999999999	-0.75	0.75	0.5	1.4957264957265	1.45766673971802	0.219789207899825	0.999878565674375	0.962425540193028	0.888664220869276
Uniform	1	29.4499999999999	-0.75	0.75	0.5	1.49915110356537	1.46132981283923	0.219064857540116	0.999881381956286	0.961881089793984	0.888730272221346
Uniform	1	29.6499999999999	-0.75	0.75	0.5	1.50252951096121	1.46485273667776	0.218342466392056	0.999884604507509	0.962783376632142	0.888555356419146
Uniform	1	29.8499999999999	-0.75	0.75	0.5	1.50251256281407	1.46506401353501	0.218371952499045	0.999888322881556	0.964146601134392	0.888482429089677
Uniform	1	30.0499999999999	-0.75	0.75	0.5	1.49916805324459	1.46206128997428	0.219142160817925	0.999886248290944	0.96675054428351	0.887729726048807
Uniform	1	30.2499999999999	-0.75	0.75	0.5	1.49586776859504	1.45905334335087	0.219899764645003	0.999878392165684	0.967951604005688	0.887666240203902
Uniform	1	30.4499999999999	-0.75	0.75	0.5	1.4991789819376	1.46258773029624	0.219198138887017	0.999870536040411	0.967213625442534	0.888179940869608
Uniform	1	30.6499999999999	-0.75	0.75	0.5	1.50244698205546	1.46599107430363	0.218498364578007	0.999862679915142	0.967363041704467	0.887860491108944
Uniform	1	30.8499999999999	-0.75	0.75	0.5	1.50243111831443	1.46618893637589	0.218525968211559	0.999854823789879	0.968294956833674	0.887699913775226
Uniform	1	31.0499999999999	-0.75	0.75	0.5	1.49919484702094	1.46327283665378	0.21927050259223	0.999846967664606	0.969277723300739	0.887516087735015
Uniform	1	31.2499999999999	-0.75	0.75	0.5	1.496	1.460352	0.220003238876665	0.999839111539336	0.970261510729639	0.887369358681741
Uniform	1	31.4499999999999	-0.75	0.75	0.5	1.49920508744038	1.46376639428168	0.219322958420845	0.999836768070355	0.970546650230291	0.887646441832934
Uniform	1	31.6499999999999	-0.75	0.75	0.5	1.50236966824644	1.46705799260773	0.218644430058614	0.999838909573727	0.972246645131454	0.887604643064029
Uniform	1	31.8499999999999	-0.75	0.75	0.5	1.50235478806907	1.46724367805328	0.218670325901642	0.999841051077089	0.974723175180901	0.887494663714673
Uniform	1	32.0499999999999	-0.75	0.75	0.5	1.49921996879875	1.4644094032092	0.219390841314474	0.999843192580453	0.976421996319117	0.88749866401124
Uniform	1	32.2499999999999	-0.75	0.75	0.5	1.49612403100775	1.46157081906135	0.220100290048263	0.999843157315568	0.978165632989936	0.887560920296317
Uniform	1	32.4499999999999	-0.75	0.75	0.5	1.49922958397535	1.4648730653536	0.219440097183441	0.999845285319605	0.97963760153333	0.887577554748678
Uniform	1	32.6499999999999	-0.75	0.75	0.5	1.50229709035222	1.46806000811428	0.218781564644594	0.999847413323625	0.982493775996226	0.886839096960217
Uniform	1	32.8499999999999	-0.75	0.75	0.5	1.50228310502283	1.46823460728509	0.218805906417248	0.999849541327642	0.984948095548364	0.88648384986886
