k	x	y	x2	y2	col
774	-16.5876	-13.2402	-16.0071	-13.7027	387
776	-16.0071	-13.7027	-16.2886	-13.0160	388
778	-16.2886	-13.0160	-15.7237	-13.4972	389
780	-15.7237	-13.4972	-16.1588	-14.0982	390
782	-16.1588	-14.0982	-16.6692	-14.6366	391
784	-16.6692	-14.6366	-16.2178	-15.2252	392
786	-16.2178	-15.2252	-16.6693	-14.6367	393
788	-16.6693	-14.6367	-16.2656	-14.0147	394
790	-16.2656	-14.0147	-16.4751	-13.3033	395
792	-16.4751	-13.3033	-16.2712	-14.0162	396
794	-16.2712	-14.0162	-16.5740	-14.6928	397
796	-16.5740	-14.6928	-15.8343	-14.7402	398
798	-15.8343	-14.7402	-15.8685	-15.4806	399
800	-15.8685	-15.4806	-15.1413	-15.6229	400
802	-15.1413	-15.6229	-15.3830	-16.3234	401
804	-15.3830	-16.3234	-14.6734	-16.5362	402
806	-14.6734	-16.5362	-14.5996	-17.2733	403
808	-14.5996	-17.2733	-14.2058	-16.6460	404
810	-14.2058	-16.6460	-13.8291	-16.0084	405
812	-13.8291	-16.0084	-13.5772	-16.7047	406
814	-13.5772	-16.7047	-12.9998	-16.2411	407
816	-12.9998	-16.2411	-12.3967	-15.8119	408
818	-12.3967	-15.8119	-12.1524	-16.5106	409
820	-12.1524	-16.5106	-12.1461	-15.7705	410
822	-12.1461	-15.7705	-12.8622	-15.5838	411
824	-12.8622	-15.5838	-13.5803	-15.4050	412
826	-13.5803	-15.4050	-13.7148	-14.6775	413
828	-13.7148	-14.6775	-13.0300	-14.9573	414
830	-13.0300	-14.9573	-13.7503	-14.7890	415
832	-13.7503	-14.7890	-13.2133	-15.2975	416
834	-13.2133	-15.2975	-13.0311	-14.5808	417
836	-13.0311	-14.5808	-13.7652	-14.4922	418
838	-13.7652	-14.4922	-13.9264	-15.2138	419
840	-13.9264	-15.2138	-13.2450	-15.5003	420
842	-13.2450	-15.5003	-12.8874	-14.8533	421
844	-12.8874	-14.8533	-13.5704	-14.5709	422
846	-13.5704	-14.5709	-13.5059	-15.3070	423
848	-13.5059	-15.3070	-13.1577	-14.6553	424
850	-13.1577	-14.6553	-13.4524	-15.3328	425
852	-13.4524	-15.3328	-13.7888	-14.6752	426
854	-13.7888	-14.6752	-13.2390	-14.1820	427
856	-13.2390	-14.1820	-12.5932	-13.8236	428
858	-12.5932	-13.8236	-12.5495	-13.0864	429
860	-12.5495	-13.0864	-13.0926	-13.5867	430
862	-13.0926	-13.5867	-13.0301	-12.8510	431
864	-13.0301	-12.8510	-12.4816	-12.3569	432
866	-12.4816	-12.3569	-12.6241	-11.6327	433
868	-12.6241	-11.6327	-12.6202	-12.3707	434
870	-12.6202	-12.3707	-13.3248	-12.5900	435
872	-13.3248	-12.5900	-13.5796	-13.2825	436
874	-13.5796	-13.2825	-13.3949	-12.5682	437
876	-13.3949	-12.5682	-12.8465	-12.0748	438
878	-12.8465	-12.0748	-13.5245	-11.7842	439
880	-13.5245	-11.7842	-13.2417	-11.1031	440
882	-13.2417	-11.1031	-13.8179	-10.6428	441
884	-13.8179	-10.6428	-13.1551	-10.3197	442
886	-13.1551	-10.3197	-13.1374	-9.5826	443
888	-13.1374	-9.5826	-12.4609	-9.8755	444
890	-12.4609	-9.8755	-12.0608	-9.2565	445
