k	x	y	x2	y2	col
2559	23.9056	6.3957	24.18131552	6.759180412	2559
2560	24.1813	6.7592	23.74454885	6.627434752	2560
2561	23.7445	6.6274	24.143276	6.405798896	2561
2562	24.1433	6.4058	24.10143529	6.860044323	2562
2563	24.1014	6.8600	23.70554285	6.633455507	2563
2564	23.7055	6.6335	24.0252826	6.308150138	2564
2565	24.0253	6.3082	24.32190881	6.654637896	2565
2566	24.3219	6.6546	24.00179829	6.979528521	2566
2567	24.0018	6.9795	23.60658082	6.751906874	2567
2568	23.6066	6.7519	23.65055322	6.297969994	2568
2569	23.6506	6.2980	24.0508134	6.079411399	2569
2570	24.0508	6.0794	24.48587878	6.216078903	2570
2571	24.4859	6.2161	24.75541217	6.583904232	2571
2572	24.7554	6.5839	24.83181249	7.033449051	2572
2573	24.8318	7.0334	24.77458511	7.485816624	2573
2574	24.7746	7.4858	24.6616538	7.927565154	2574
2575	24.6617	7.9276	24.56878058	8.373943541	2575
2576	24.5688	8.3739	24.57310658	8.829842927	2576
2577	24.5731	8.8298	24.74788795	9.250910984	2577
2578	24.7479	9.2509	25.11781096	9.517346117	2578
2579	25.1178	9.5173	25.57148805	9.472717643	2579
2580	25.5715	9.4727	25.82189816	9.091806535	2580
2581	25.8219	9.0918	25.61203659	8.687157896	2581
2582	25.6120	8.6872	25.16045132	8.74910181	2582
2583	25.1605	8.7491	25.14347784	9.204581912	2583
2584	25.1435	9.2046	25.59884695	9.223898287	2584
2585	25.5988	9.2239	25.54394697	8.771455948	2585
2586	25.5439	8.7715	25.13398271	8.970532109	2586
2587	25.1340	8.9705	25.50504589	9.235103608	2587
2588	25.5050	9.2351	25.48325627	8.77991669	2588
2589	25.4833	8.7799	25.19391153	9.131958597	2589
2590	25.1939	9.1320	25.62720686	8.990916011	2590
2591	25.6272	8.9909	25.17323311	8.951805145	2591
2592	25.1732	8.9518	25.60585638	9.094783846	2592
2593	25.6059	9.0948	25.18362063	8.923591665	2593
2594	25.1836	8.9236	25.62096505	9.051277419	2594
2595	25.6210	9.0513	25.16543779	9.044016622	2595
2596	25.1654	9.0440	25.58158719	8.858648083	2596
2597	25.5816	8.8586	25.34347206	9.247012628	2597
2598	25.3435	9.2470	25.24480464	8.802294061	2598
2599	25.2448	8.8023	25.66116673	8.987054741	2599
2600	25.6612	8.9871	25.3079987	9.274718232	2600
2601	25.3080	9.2747	25.1389916	8.851754175	2601
2602	25.1390	8.8518	25.58108925	8.742229184	2602
2603	25.5811	8.7422	25.70324157	9.180987571	2603
2604	25.7032	9.1810	25.29638558	9.38563944	2604
2605	25.2964	9.3856	24.96146671	9.077049722	2605
2606	24.9615	9.0770	25.06025899	8.632502271	2606
2607	25.0603	8.6325	25.46571658	8.425208784	2607
2608	25.4657	8.4252	25.90785371	8.534136748	2608
2609	25.9079	8.5341	26.22817533	8.857754912	2609
2610	26.2282	8.8578	26.40397544	9.277770497	2610
2611	26.4040	9.2778	26.48435811	9.725923953	2611
2612	26.4844	9.7259	26.54039069	10.17775066	2612
2613	26.5404	10.1778	26.64595146	10.62061417	2613
2614	26.6460	10.6206	26.86786998	11.01811571	2614
2615	26.8679	11.0181	27.23785281	11.28335555	2615
2616	27.2379	11.2834	27.69299717	11.29155462	2616
2617	27.6930	11.2916	28.02601517	10.98122125	2617
2618	28.0260	10.9812	27.97532383	10.52886923	2618
2619	27.9753	10.5289	27.54982005	10.36724412	2619
2620	27.5498	10.3672	27.26582786	10.72292483	2620
2621	27.2658	10.7229	27.5760364	11.05596415	2621
2622	27.5760	11.0560	27.90390231	10.74031771	2622
2623	27.9039	10.7403	27.53468747	10.47424753	2623
2624	27.5347	10.4742	27.40840948	10.91145575	2624
2625	27.4084	10.9115	27.85197154	10.80979904	2625
2626	27.8520	10.8098	27.49698811	10.52510204	2626
2627	27.4970	10.5251	27.56792638	10.97456574	2627
2628	27.5679	10.9746	27.7530181	10.55890343	2628
2629	27.7530	10.5589	27.41674352	10.86539611	2629
2630	27.4167	10.8654	27.81841587	10.65170956	2630
2631	27.8184	10.6517	27.39958198	10.82937514	2631
2632	27.3996	10.8294	27.80399265	10.62099288	2632
2633	27.8040	10.6210	27.45977092	10.91842663	2633
2634	27.4598	10.9184	27.66143294	10.5106618	2634
2635	27.6614	10.5107	27.70756464	10.9632056	2635
2636	27.7076	10.9632	27.37365601	10.65431508	2636
2637	27.3737	10.6543	27.82419046	10.5917743	2637
2638	27.8242	10.5918	27.65259836	11.0130024	2638
2639	27.6526	11.0130	27.31985246	10.70293555	2639
2640	27.3199	10.7029	27.69034446	10.43915289	2640
2641	27.6903	10.4392	27.93881895	10.8200602	2641
2642	27.9388	10.8201	27.59052443	11.11247297	2642
2643	27.5905	11.1125	27.21291094	10.85908255	2643
2644	27.2129	10.8591	27.28031492	10.40937185	2644
2645	27.2803	10.4094	27.68892718	10.20986395	2645
2646	27.6889	10.2099	28.11559287	10.36705222	2646
2647	28.1156	10.3671	28.36138405	10.7495739	2647
2648	28.3614	10.7496	28.39989824	11.20260501	2648
2649	28.3999	11.2026	28.29127725	11.64408706	2649
2650	28.2913	11.6441	28.11123982	12.06155066	2650
2651	28.1112	12.0616	27.92874759	12.47792828	2651
2652	27.9287	12.4779	27.81228431	12.91735343	2652
2653	27.8123	12.9174	27.83713098	13.37125344	2653
2654	27.8371	13.3713	28.06618362	13.763888	2654
2655	28.0662	13.7639	28.48310378	13.94496541	2655
2656	28.4831	13.9450	28.90476382	13.77526359	2656
2657	28.9048	13.7753	29.01126112	13.33340539	2657
2658	29.0113	13.3334	28.66261463	13.04183991	2658
2659	28.6626	13.0418	28.28082943	13.28839485	2659
2660	28.2808	13.2884	28.4708746	13.70121028	2660
2661	28.4709	13.7012	28.88041584	13.50424784	2661
2662	28.8804	13.5042	28.61496944	13.13541058	2662
2663	28.6150	13.1354	28.35358618	13.50711746	2663
